Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,54,0,930,4417.285259203405,53.8213559993892,20996.848529999625,160.6851851851852,0.18054037951480248,0.0,1200,4100,6700,8600,17000,19000,19000,21000,21000,21000,21000
GET,/api/recurso-detalhe/{id},206,0,1400,4810.001167893188,42.64153099938994,28862.969982999857,399.06310679611653,0.6887281144453576,0.0,1400,4500,6700,8700,17000,21000,27000,28000,29000,29000,29000
GET,/api/recurso-lento,205,0,52000,56767.58064632683,39633.371036001336,87356.13524300061,358212.0975609756,0.6853847740839724,0.0,52000,58000,62000,65000,74000,79000,85000,85000,87000,87000,87000
GET,/api/status,119,0,740,5284.036951369861,74.58824800050934,29159.444806000465,106.0,0.3978575030048425,0.0,740,4700,8800,12000,18000,21000,22000,22000,29000,29000,29000
,Aggregated,584,0,8300,23108.81519570718,42.64153099938994,87356.13524300061,125919.48287671233,1.952510771048975,0.0,8400,45000,51000,52000,60000,68000,78000,80000,87000,87000,87000
