Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,55,0,3000,6363.248143054506,85.27298700028041,29580.60310699875,160.61818181818182,0.1838519672439405,0.0,3000,8600,10000,15000,16000,16000,16000,30000,30000,30000,30000
GET,/api/recurso-detalhe/{id},167,0,1800,4795.875421431146,44.259359001443954,30162.063372001285,396.58682634730536,0.5582414278134193,0.0,1800,5700,7700,8800,15000,16000,25000,30000,30000,30000,30000
GET,/api/recurso-lento,192,0,54000,57215.975961385324,50633.08039200092,82477.80798799977,377001.2135416667,0.6418105038333923,0.0,54000,58000,61000,63000,67000,74000,75000,80000,82000,82000,82000
GET,/api/status,100,0,2000,5418.4889397699,74.72162999874854,29887.00731100107,106.0,0.33427630407989184,0.0,2000,7900,8900,10000,16000,16000,25000,30000,30000,30000,30000
,Aggregated,514,0,10000,24665.77066499996,44.259359001443954,82477.80798799977,140992.01750972762,1.718180202970644,0.0,10000,51000,53000,54000,60000,66000,73000,74000,82000,82000,82000
