Endpoint,Tempo Médio (ms),Tempo Máximo (ms),Req/s,Total Requisições,Erros,Taxa Sucesso (%)
/api/recurso,77.36270099464893,4671.818059400539,2.7879652882896484,4153,0,100.0
/api/recurso-detalhe/{id},76.50751587400737,6543.596897399766,8.456609377761565,12598,0,100.0
/api/recurso-lento,1107.0975301558126,22359.488988600424,11.192082956219418,16675,0,100.0
/api/status,68.17138108761473,4979.027567599769,5.646837917763884,8412,0,100.0
Aggregated,478.0441204873243,22359.488988600424,28.083495540034516,41838,0,100.0
