Endpoint,Tempo Médio (ms),Tempo Máximo (ms),Req/s,Total Requisições,Erros,Taxa Sucesso (%)
/api/recurso,4484.754554415293,19804.12149240001,0.23576310458479494,352,0,100.0
/api/recurso-detalhe/{id},4113.007536585907,21413.751719199718,0.7105217548559708,1061,0,100.0
/api/recurso-lento,47777.70229321965,66144.60746580007,0.8150090855232893,1217,0,100.0
/api/status,4756.754941836466,22982.345884000097,0.4547020206352987,679,0,100.0
Aggregated,20190.395075730252,66144.60746580007,2.2159959655993537,3309,0,100.0
