Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,666,0,11,30.221131087093273,6.387646999428398,485.10630000055244,160.72972972972974,2.3229488236797824,0.0,11,18,26,31,57,130,220,320,490,490,490
GET,/api/recurso-detalhe/{id},2086,0,8,72.89170475072565,4.845270999794593,19248.009916998853,398.0469798657718,7.275782651945986,0.0,8,12,18,22,40,100,200,280,19000,19000,19000
GET,/api/recurso-lento,2771,0,22,1254.7078954229344,12.952004000908346,33109.55343900059,1111807.948754962,9.665001787412429,0.0,22,25,30,34,76,1000,28000,30000,32000,33000,33000
GET,/api/status,1403,0,10,44.001051826079646,5.9926229987468105,18919.7762900003,106.0,4.893539338772875,0.0,10,14,18,23,36,96,200,270,10000,19000,19000
,Aggregated,6926,0,18,535.7650048141725,4.845270999794593,33109.55343900059,444976.3089806526,24.157272601811073,0.0,18,22,25,29,50,160,1600,27000,32000,33000,33000
