Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,978,0,10,13.715831358887641,6.524636000904138,184.91954099954455,160.69325153374234,3.268299856570467,0.0,10,12,14,16,22,26,39,82,180,180,180
GET,/api/recurso-detalhe/{id},2955,0,8,10.129463845350829,4.848320000746753,171.11726400071348,398.3140439932318,9.87507778749052,0.0,8,9,10,11,16,21,28,43,160,170,170
GET,/api/recurso-lento,3928,0,14,19.317205317475427,8.046867000302882,1215.7961560005788,661092.3133910387,13.126668544589768,0.0,14,16,17,18,22,27,42,94,870,1200,1200
GET,/api/status,1961,0,8,10.738951844962155,5.441131999759818,187.0996159996139,106.0,6.553308812612152,0.0,8,9,11,12,16,22,29,46,190,190,190
,Aggregated,9822,0,12,14.282601892386289,4.848320000746753,1215.7961560005788,264540.07829362655,32.82335500126291,0.0,12,14,15,16,20,24,35,58,450,1200,1200
