Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,66,0,3300,4686.954858333289,123.05123100122728,16293.817604999276,160.9090909090909,0.22069046484292026,0.0,3400,4800,6200,7700,9100,15000,16000,16000,16000,16000,16000
GET,/api/recurso-detalhe/{id},221,0,3100,3746.7322374706855,43.77211800056102,16417.15376799948,398.3076923076923,0.7389786777315966,0.0,3100,4500,5000,5700,8100,10000,16000,16000,16000,16000,16000
GET,/api/recurso-lento,248,0,44000,45039.7538752218,39384.80046999939,55859.10480300117,341791.80241935485,0.8292611406218822,0.0,44000,45000,47000,48000,49000,51000,53000,54000,56000,56000,56000
GET,/api/status,136,0,3000,3976.6087904044725,28.51728399946296,16245.303054000033,106.0,0.45475610937329025,0.0,3000,4100,5000,5500,9500,15000,16000,16000,16000,16000,16000
,Aggregated,671,0,5800,19147.60745407008,28.51728399946296,55859.10480300117,126493.93293591654,2.2436863925696895,0.0,5800,42000,44000,44000,46000,48000,51000,52000,56000,56000,56000
