Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,80,0,140,2765.036105225044,64.23172799986787,16759.38447200042,160.7125,0.2678536551470307,0.0,150,710,2800,4400,12000,13000,14000,17000,17000,17000,17000
GET,/api/recurso-detalhe/{id},212,0,110,2657.4790588349183,31.00516299946321,18660.57193099914,397.75943396226415,0.7098121861396314,0.0,120,800,2200,4100,12000,12000,17000,18000,19000,19000,19000
GET,/api/recurso-lento,257,0,42000,44131.60807795332,38645.192002999465,60274.50248100013,321261.0505836576,0.8604798671598362,0.0,42000,43000,45000,48000,53000,55000,57000,58000,60000,60000,60000
GET,/api/status,170,0,210,3549.2352852881913,49.746167000193964,18748.124371000813,106.0,0.5691890171874402,0.0,220,1600,5100,11000,13000,14000,18000,19000,19000,19000,19000
,Aggregated,719,0,4300,17704.842452606397,31.00516299946321,60274.50248100013,114992.0611961057,2.4073347256339384,0.0,4300,40000,41000,42000,43000,52000,55000,57000,60000,60000,60000
