Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,924,0,10,13.835805077889185,6.030775000908761,134.2030159994465,160.71645021645023,3.0875938506863294,0.0,10,12,15,17,23,28,40,69,130,130,130
GET,/api/recurso-detalhe/{id},2967,0,7,10.53893966059617,4.927130999931251,133.9456669993524,398.36737445230875,9.914384150418115,0.0,7,9,11,12,18,23,31,56,120,130,130
GET,/api/recurso-lento,3971,0,18,20.727220635122208,10.911774999840418,389.45238400083326,908137.8035759254,13.26930214402101,0.0,18,19,21,22,26,31,44,82,310,390,390
GET,/api/status,1979,0,8,11.557372415861815,5.567112999415258,137.38404600007925,106.0,6.612930985398535,0.0,8,10,12,13,19,25,34,49,140,140,140
,Aggregated,9841,0,14,15.164429531350349,4.927130999931251,389.45238400083326,366604.5574636724,32.884211130523994,0.0,14,17,18,19,23,28,38,65,160,390,390
