Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,382,0,12,326.1841677198562,6.2598519998573465,21928.76344400065,160.65968586387436,1.3405917263693183,0.0,12,19,28,32,75,280,940,21000,22000,22000,22000
GET,/api/recurso-detalhe/{id},1144,0,9,325.04726656295054,4.945179000060307,22786.51089899904,396.85664335664336,4.014756374257853,0.0,9,16,24,29,95,360,1600,20000,23000,23000,23000
GET,/api/recurso-lento,1473,0,24,5041.443068680249,14.61351400030253,59492.83677499989,1300579.2600135778,5.169349772099491,0.0,24,29,35,42,36000,37000,38000,39000,59000,59000,59000
GET,/api/status,769,0,11,286.6606222808753,5.416390999016585,22615.41428900091,106.0,2.6987304648638895,0.0,11,17,23,31,110,360,1500,20000,23000,23000,23000
,Aggregated,3768,0,21,2161.0785784811555,4.945179000060307,59492.83677499989,508585.49363057327,13.223428337590553,0.0,21,25,30,36,170,30000,37000,38000,58000,59000,59000
