Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/recurso,1008,0,10,12.329856470206858,6.809157001043786,86.26822199948947,160.69444444444446,3.3691220037914937,0.0,10,11,13,14,18,22,30,57,85,86,86
GET,/api/recurso-detalhe/{id},2894,0,8,9.309014865585347,4.529942001681775,121.64471600044635,398.0,9.672856229139468,0.0,8,8,9,10,13,17,24,40,82,120,120
GET,/api/recurso-lento,3964,0,11,13.471139612779373,6.020207998517435,480.40558700085967,411019.6942482341,13.24920597522766,0.0,11,12,13,14,16,20,28,58,320,480,480
GET,/api/status,1962,0,8,9.952090900606073,5.23880600121629,121.36786199880589,106.0,6.557755328808443,0.0,8,9,10,11,14,17,23,33,110,120,120
,Aggregated,9828,0,10,11.425965009668198,4.529942001681775,480.40558700085967,165934.45584045583,32.848939536967066,0.0,10,11,12,13,15,19,26,44,170,480,480
